iter    train_loss      test_loss       num_unique_samples_this_epoch
0       0.1997          0.9787          1
25      0.2223          1.0972          21
50      0.2611          1.2015          27
75      0.1857          0.9624          47
100     0.1823          0.9632          62
125     0.1961          1.0077          79
150     0.2154          1.0521          90
175     0.1908          0.9877          102
200     0.1911          1.0033          114
225     0.1994          1.0529          127
250     0.1955          1.0753          141
275     0.2115          1.1065          155
300     0.1782          1.0048          171
325     0.178           1.0169          180
350     0.2103          1.1316          191
375     0.1846          1.0685          202
400     0.1822          1.0881          211
425     0.2121          1.2146          228
450     0.185           1.1512          236
475     0.1789          1.1491          245
500     0.1825          1.201           253
525     0.1859          1.2151          266
550     0.1875          1.2465          275
575     0.1593          1.0941          290
600     0.1431          1.0349          298
625     0.169           1.1648          305
650     0.1642          1.1555          309
675     0.1535          1.1424          317
700     0.1625          1.2059          328
725     0.161           1.2024          337
750     0.1428          1.1101          346
775     0.1499          1.1584          354
800     0.1472          1.1398          359
825     0.1407          1.0398          367
850     0.14            1.0597          375
875     0.1488          1.1344          380
900     0.1476          1.1598          386
925     0.1494          1.2091          390
950     0.155           1.2568          393
975     0.1715          1.3746          397
iter    train_loss      test_loss       num_unique_samples_this_epoch
1000    0.1748          1.3762          1
1025    0.1467          1.2184          20
1050    0.1434          1.1898          33
1075    0.1455          1.2386          56
1100    0.1328          1.1986          74
1125    0.143           1.2577          92
1150    0.1545          1.3085          107
1175    0.1532          1.3073          125
1200    0.1376          1.1921          138
1225    0.1424          1.2647          155
1250    0.138           1.2559          166
1275    0.1562          1.3585          178
1300    0.1249          1.1839          197
1325    0.1315          1.2319          209
1350    0.1164          1.1544          222
1375    0.1196          1.1551          233
1400    0.1238          1.2099          249
1425    0.1384          1.2819          262
1450    0.1393          1.3017          275
1475    0.1283          1.2813          285
1500    0.1167          1.2116          302
1525    0.1172          1.2016          312
1550    0.1253          1.2633          322
1575    0.117           1.222           335
1600    0.1116          1.1742          344
1625    0.1123          1.1818          353
1650    0.1225          1.2672          359
1675    0.1186          1.266           366
1700    0.1089          1.1954          379
1725    0.1159          1.2328          386
1750    0.1221          1.267           392
1775    0.1056          1.1401          404
1800    0.1103          1.1491          411
1825    0.1087          1.1862          415
1850    0.1146          1.2143          423
1875    0.1172          1.1484          426
1900    0.1247          1.1947          432
1925    0.1105          1.2439          438
1950    0.1161          1.2589          441
1975    0.1141          1.2328          446
